,x,y
0,0,59
1,1,60
2,2,61
3,3,61
4,4,61
5,5,64
6,6,65
7,7,65
8,8,65
9,9,69
10,10,69
11,11,70
12,12,70
13,13,71
14,14,72
15,15,73
16,16,74
17,17,75
18,18,76
19,19,76
20,20,77
21,21,78
22,22,81
23,23,81
24,24,81
25,25,82
26,26,84
27,27,85
28,28,85
29,29,86
30,30,87
31,31,87
32,32,88
33,33,89
34,34,90
35,35,90
36,36,91
37,37,91
38,38,92
39,39,93
40,40,94
41,41,96
42,42,98
43,43,99
44,44,100
45,45,100
46,46,101
47,47,102
48,48,103
49,49,104
50,50,106
51,51,107
52,52,113
53,53,111
54,54,109
55,55,110
56,56,111
57,57,112
58,58,113
59,59,114
60,60,115
61,61,116
62,62,116
63,63,117
64,64,118
65,65,119
66,66,120
67,67,121
68,68,122
69,69,123
70,70,124
71,71,124
72,72,126
73,73,127
74,74,127
75,75,129
76,76,129
77,77,131
78,78,131
79,79,132
80,80,133
81,81,133
82,82,134
83,83,135
84,84,136
85,85,137
86,86,138
87,87,139
88,88,140
89,89,142
90,90,142
91,91,143
92,92,144
93,93,145
94,94,145
95,95,146
96,96,148
97,97,149
98,98,149
99,99,150
100,100,151
101,101,151
102,102,152
103,103,153
104,104,154
105,105,155
106,106,156
107,107,157
108,108,157
109,109,158
110,110,160
111,111,161
112,112,161
113,113,161
114,114,161
115,115,161
116,116,161
117,117,161
118,118,161
119,119,161
120,120,161
121,121,161
122,122,162
123,123,162
124,124,162
125,125,162
126,126,161
127,127,161
128,128,161
129,129,161
130,130,162
131,131,162
132,132,162
133,133,162
134,134,162
135,135,162
136,136,162
137,137,161
138,138,161
139,139,162
140,140,162
141,141,162
142,142,162
143,143,162
144,144,162
145,145,162
146,146,161
147,147,162
148,148,162
149,149,162
150,150,162
151,151,162
152,152,162
153,153,162
154,154,162
155,155,162
156,156,161
157,157,161
158,158,161
159,159,161
160,160,161
161,161,161
162,162,161
163,163,160
164,164,160
165,165,160
166,166,160
167,167,159
168,168,158
169,169,157
170,170,156
171,171,155
172,172,154
173,173,153
174,174,153
175,175,152
176,176,151
177,177,150
178,178,149
179,179,149
180,180,148
181,181,147
182,182,146
183,183,145
184,184,144
185,185,143
186,186,143
187,187,142
188,188,141
189,189,140
190,190,139
191,191,139
192,192,137
193,193,136
194,194,136
195,195,135
196,196,134
197,197,133
198,198,132
199,199,130
200,200,129
201,201,128
202,202,127
203,203,127
204,204,127
205,205,126
206,206,125
207,207,124
208,208,116
209,209,121
210,210,120
211,211,119
212,212,118
213,213,117
214,214,116
215,215,115
216,216,111
217,217,110
218,218,109
219,219,109
220,220,109
221,221,109
222,222,108
223,223,107
224,224,106
225,225,105
226,226,104
227,227,103
228,228,102
229,229,102
230,230,101
231,231,99
232,232,98
233,233,98
234,234,97
235,235,96
236,236,95
237,237,94
238,238,93
239,239,92
240,240,91
241,241,89
242,242,88
243,243,88
244,244,87
245,245,86
246,246,85
247,247,84
248,248,83
249,249,83
250,250,82
251,251,81
252,252,80
253,253,80
254,254,79
255,255,78
256,256,77
257,257,76
258,258,76
259,259,75
260,260,74
261,261,73
262,262,71
263,263,70
264,264,70
265,265,69
266,266,67
267,267,64
268,268,61
269,269,63
270,270,61
271,271,64
272,272,63
273,273,63
274,274,62
275,275,61
276,276,60
277,277,60
278,278,59
279,279,58
