,x,y
0,0,97
1,1,97
2,2,96
3,3,97
4,4,97
5,5,98
6,6,101
7,7,102
8,8,102
9,9,103
10,10,104
11,11,104
12,12,105
13,13,107
14,14,107
15,15,107
16,16,108
17,17,108
18,18,108
19,19,108
20,20,109
21,21,110
22,22,111
23,23,111
24,24,112
25,25,115
26,26,115
27,27,117
28,28,117
29,29,118
30,30,119
31,31,120
32,32,122
33,33,123
34,34,124
35,35,125
36,36,126
37,37,128
38,38,129
39,39,130
40,40,131
41,41,131
42,42,132
43,43,133
44,44,133
45,45,134
46,46,135
47,47,135
48,48,136
49,49,137
50,50,138
51,51,138
52,52,139
53,53,140
54,54,140
55,55,141
56,56,141
57,57,142
58,58,143
59,59,143
60,60,144
61,61,144
62,62,144
63,63,145
64,64,146
65,65,146
66,66,147
67,67,147
68,68,148
69,69,149
70,70,149
71,71,149
72,72,150
73,73,150
74,74,149
75,75,150
76,76,152
77,77,152
78,78,153
79,79,154
80,80,154
81,81,155
82,82,155
83,83,155
84,84,156
85,85,156
86,86,156
87,87,157
88,88,158
89,89,159
90,90,159
91,91,160
92,92,161
93,93,161
94,94,160
95,95,163
96,96,163
97,97,164
98,98,164
99,99,165
100,100,165
101,101,165
102,102,166
103,103,166
104,104,167
105,105,168
106,106,168
107,107,169
108,108,169
109,109,170
110,110,170
111,111,170
112,112,171
113,113,171
114,114,172
115,115,172
116,116,173
117,117,173
118,118,174
119,119,175
120,120,175
121,121,176
122,122,176
123,123,177
124,124,177
125,125,178
126,126,178
127,127,178
128,128,179
129,129,179
130,130,180
131,131,180
132,132,181
133,133,181
134,134,182
135,135,182
136,136,183
137,137,183
138,138,184
139,139,184
140,140,185
141,141,185
142,142,185
143,143,186
144,144,186
145,145,187
146,146,187
147,147,188
148,148,188
149,149,189
150,150,189
151,151,189
152,152,190
153,153,191
154,154,191
155,155,192
156,156,192
157,157,192
158,158,193
159,159,193
160,160,194
161,161,195
162,162,195
163,163,195
164,164,196
165,165,196
166,166,196
167,167,197
168,168,197
169,169,198
170,170,198
171,171,198
172,172,198
173,173,198
174,174,199
175,175,198
176,176,199
177,177,199
178,178,199
179,179,199
180,180,199
181,181,199
182,182,199
183,183,199
184,184,198
185,185,198
186,186,199
187,187,198
188,188,198
189,189,198
190,190,197
191,191,197
192,192,197
193,193,196
194,194,196
195,195,195
196,196,195
197,197,194
198,198,193
199,199,193
200,200,192
201,201,192
202,202,191
203,203,191
204,204,190
205,205,190
206,206,189
207,207,188
208,208,188
209,209,188
210,210,187
211,211,186
212,212,186
213,213,185
214,214,185
215,215,184
216,216,184
217,217,183
218,218,182
219,219,182
220,220,181
221,221,181
222,222,180
223,223,180
224,224,180
225,225,179
226,226,178
227,227,178
228,228,177
229,229,176
230,230,176
231,231,175
232,232,175
233,233,174
234,234,173
235,235,173
236,236,172
237,237,171
238,238,171
239,239,170
240,240,170
241,241,169
242,242,169
243,243,168
244,244,167
245,245,167
246,246,166
247,247,166
248,248,165
249,249,165
250,250,164
251,251,164
252,252,163
253,253,162
254,254,162
255,255,161
256,256,161
257,257,160
258,258,159
259,259,159
260,260,159
261,261,157
262,262,156
263,263,156
264,264,156
265,265,155
266,266,154
267,267,154
268,268,153
269,269,152
270,270,152
271,271,152
272,272,151
273,273,151
274,274,150
275,275,149
276,276,149
277,277,148
278,278,147
279,279,147
280,280,146
281,281,145
282,282,144
283,283,144
284,284,143
285,285,143
286,286,142
287,287,141
288,288,140
289,289,139
290,290,138
291,291,137
292,292,136
293,293,135
294,294,134
295,295,132
296,296,132
297,297,130
298,298,130
299,299,128
300,300,127
301,301,126
302,302,126
303,303,125
304,304,125
305,305,124
306,306,123
307,307,122
308,308,122
309,309,121
310,310,121
311,311,121
312,312,119
313,313,118
314,314,118
315,315,117
316,316,116
317,317,115
318,318,114
319,319,113
320,320,112
321,321,111
322,322,110
323,323,109
324,324,108
325,325,107
326,326,106
327,327,105
328,328,100
329,330,96
330,331,96
331,332,95
332,333,94
333,334,92
334,335,91
335,336,89
336,337,88
337,338,88
338,339,87
339,340,87
340,341,88
341,342,85
342,343,84
343,344,82
344,345,81
345,346,80
346,347,80
347,348,79
348,349,78
349,350,73
350,351,69
351,352,66
352,353,67
353,354,66
354,355,66
355,356,66
356,357,69
357,358,68
358,359,67
359,360,64
